d = 2
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                             5                              4                              2                              2
 4                            36                             31                              7                              7
 5                           329                            293                             36                             29
 6                          3655                           3326                            300                            196
 7                         47844                          44189                           3218                           1788
 8                        721315                         673471                          42335                          21994
 9                      12310199                       11588884                         644808                         326115
10                     234615096                      222304897                       11119515                        5578431
11                    4939227215                     4704612119                      213865382                      107026037
12                  113836841041                   108897613826                     4537496680                     2269254616
13                 2850860253240                  2737023412199                   105270612952                    52638064494
14                77087063678521                 74236203425281                  2651295555949                  1325663757897
15              2238375706930349               2161288643251828                 72042968876506                 36021577975918
16             69466733978519340              67228358271588991               2100886276796969               1050443713185782
17           2294640596998068569            2225173863019549229              65446290562491916              32723148860301935
18          80381887628910919255           78087247031912850686            2169090198219290966            1084545122297249077
19        2976424482866702081004         2896042595237791161749           76211647261082309466           38105823782987999742
20      116160936719430292078411       113184512236563589997407         2829612806029873399561         1414806404051118314077
21     4765574829979508677295855      4649413893260078385217444       110700330792667188098938        55350165403484815525308
22   205035878625838303415800176    200270303795858794738504321      4551597813547388667949971      2275798906824479231792909
23  9231380112992703162388303775   9026344234366864858972503599    196224874660184685079944030     98112437330458566556980371
d = 3
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                            29                             22                              4                              4
 4                          1721                           1415                            126                             83
 5                        163386                         140343                           9367                           4848
 6                      22831355                       20167651                        1120780                         562713
 7                    4420321081                     3980871156                      189565588                       94810999
 8                 1133879136649                  1035707510307                    43154533233                    21577786374
 9               372419001449076                343866839138005                 12735808866899                  6367912802891
10            152466248712342181             141979144588872613               4732638168795171               2366319275431001
11          76134462292157828285           71386289535825383386            2163220895025390670            1081610451348718567
12       45552714996556390334921        42954342000612934599071         1193176166690983987122          596588083450068950934
13    32173493282909179882613934     30482693813120122213093587       781607533669746761791541       390803766837390136477505
14 26487410329744429030530295991  25196997894058490607106028095    599928521287111732799041322    299964260643635695469054851
d = 4
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                           182                            134                             15                             13
 4                         94376                          75843                           4790                           2576
 5                      98371884                       83002866                        4151415                        2081393
 6                  182502973885                   158861646466                     6619291247                     3309962320
 7               551248360550999                490294453324924                 17510518983528                  8755277273334
 8           2536823683737613858            2292204611710892971              71631394311300461              35815698613833466
 9       16904301142107043464659        15459367618357013402267          429426878302882412435          214713439275724149414
10   156690501089429126239232946    144663877588996810362218074      3616596939726424941979785      1808298469877117320495867
d = 5
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                          1198                            866                             60                             42
 4                       5609649                        4446741                         222477                         112418
 5                   66218360625                    55279816356                     2211192688                     1105696796
 6              1681287695542855               1450728060971387                 48357603758012                 24178822553773
 7          81644850343968535401           72078730629785795963            2059392303708166507            1029696155560021174
 8     6945222145021508480249929      6235048155225093080061949       155876203880714141444480        77938101941693076258854
d = 6
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                          8142                           5812                            335                            203
 4                     351574834                      276154969                       11508322                        5765385
 5                47940557125969                 39738077935264                  1324603148183                   662305416760
 6          16985819072511102549           14571371516350429940             404760320241653655             202380163158922023
 7    13519747358522016160671387     11876790400066163254723167       282780723811372935744420       141390361908351519807928
d = 7
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                         56620                          40048                           1912                           1036
 4                   22875971289                    17851418019                      637557164                      318856425
 5             36533294879349056              30129436868588072                860841053388606                430420599970863
 6      183095824753841610373405       156418475586202988468185         3724249418732872294163         1862124709589968992220
d = 8
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                        400598                         281374                          11775                           6131
 4                 1530622143864                  1188572791275                    37142986416                    18572246451
 5          28920026907938624194           23760203412845561062             594005085630423551             297002545736590516
 6  2070756746775910218326948065   1763546149118396470039807370     36740544773302717992698009     18370272386684966957091531
d = 9
 n                        Linear                 Chord labelled            Unlabelled (cyclic)          Unlabelled (dihedral)
 2                             1                              1                              1                              1
 3                       2872754                        2006698                          74338                          37729
 4               104650147201049                 80953196003777                  2248700252357                  1124355549049
 5       23575497690601916022516        19312059423860888815884          429156876085798400480          214578438101172605360
